Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
292,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
293,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
294,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
295,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
296,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
297,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
298,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
299,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
300,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
301,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
302,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
303,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
304,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
305,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
306,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
307,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
308,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
309,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
310,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
311,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
312,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
313,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
314,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
315,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
316,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
317,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
318,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
319,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
320,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
321,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
322,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
323,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
324,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
325,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
326,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
327,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
328,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
329,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
330,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
331,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
332,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
333,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
334,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
335,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
336,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
337,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
338,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
339,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
340,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
341,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
342,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
343,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
344,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
345,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
346,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
347,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
348,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
349,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
350,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
351,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
352,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
353,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
354,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
355,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
356,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
357,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
358,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
359,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
360,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
