Time_Index;elec_demand_SE;elec_demand_S;elec_demand_NE;elec_demand_N;Demand_Zero
547;6104.358;1910.184;7995.475;1897.072;0
548;5772.389;1757.121;8212.78;1818.975;0
549;5971.607;1768.88;7514.194;1903.062;0
550;5974.499;1711.137;7716.787;1920.744;0
551;5671.626;1882.329;8190.751;1973.172;0
552;4356.183;1872.468;8144.96;1975.288;0
553;3548.076;1866.842;8528.543;1915.943;0
554;3528.292;1750.693;9625.351;1913.355;0
555;3417.95;1673.444;9947.776;1794.582;0
556;3348.477;1435.785;10887.878;1783.075;0
557;3280.665;1267.287;10765.754;1834.112;0
558;3626.948;1212.93;10479.571;1852.743;0
559;6759.637;1611.65;10881.492;1813.566;0
560;11003.363;2434.852;10926.876;2088.92;0
561;13657.542;3527.242;11575.021;2483.483;0
562;16292.693;4547.489;11523.725;2795.607;0
563;18037.232;5096.79;11386.02;3101.652;0
564;18937.341;5353.392;11338.104;3300.24;0
565;18882.304;5159.963;11069.725;3241.558;0
566;17965.6;4699.971;10518.485;3079.378;0
567;16102.997;4042.652;9619.8;2999.908;0
568;13917.552;3236.163;8701.727;2894.01;0
569;11381.548;2791.427;7243.043;2717.361;0
570;8588.916;2124.4;5518.623;2110.359;0
571;4966.611;1677.525;5975.444;1993.032;0
572;4414.78;1616.316;5907.772;1768.605;0
573;4051.119;1610.549;6490.774;1758.241;0
574;4036.291;1589.398;6979.308;1795.311;0
575;3478.943;1532.85;7262.382;1730.369;0
576;3218.278;1486.4;7146.171;1751.839;0
577;3217.891;1263.812;7043.859;1863.666;0
